,Name,Address,Latitude,Longitude,distance_from_food
27,Electronic Arts,Rue Joannes Carret,45.78874436596676,4.813961767278767,2230.375467269284
25,Pharmacie Des Arts,29 rue de la Doua,45.776605919858355,4.874589549761398,2123.487242614498
21,E.N.S.A.T.T Ecole Nationale Supérieure Arts et Techniques du Théatre,2 Rue Soeur Bouvier,45.754386769805265,4.811571836471558,1207.4571287707888
11,Le Géant des Beaux-Arts Lyon,12 Rue Clément Marot,45.73691624513031,4.833399350305974,1206.2235688770365
32,Big Ben Art Show,38 Grande Rue De Vaise,45.77397,4.808084,981.3436085797922
22,LYON ARTS DANCE CENTER,"22, passage Faugier",45.741316,4.842984,880.6192487560247
31,PELLETIER ArtShop,Rue des artistes,45.77754669999999,4.829989599999976,698.9633105000211
17,Agend Arts,,45.77614082465964,4.8349375434420905,686.5182354591819
15,Aux Arts Martiaux Lyonnais,18 Rue d'Austerlitz,45.77554183,4.83419725,621.7213887316954
23,Résidence étudiante Les Arts Manufacture,39 rue jules brunard,45.74856992935639,4.858971834182739,495.7125949375166
33,E-artsup,86 boulevard vivier merle,45.75491188754776,4.859131369675215,491.2094938148643
4,Arts Hotel,,45.762790910189096,4.837751931389267,454.45937222358424
34,Conde Art School,,45.74558141935457,4.847478547587518,416.4353109925417
13,Liogier Arts Graphiques,41 rue Serviant,45.76015,4.84527,387.0521940420245
14,École Catholique des Arts des Métiers,,45.763149,4.822202,375.2818385317297
5,Suite arts hotel Lyon,,45.762329,4.836785,364.0091144172016
10,Marché Des Arts,,45.76598181460622,4.8291036490495065,335.9969390349388
35,e-artsup,20 Rue Jules Brunard,45.748940952770845,4.856264971007215,281.55466161227713
18,Coiffure Des Arts,"44 rue Franklin, 69002 Lyon",45.751949,4.830851,271.77308282598034
19,Arts Gâteaux Lyon,28 Rue Élie Rochette,45.74811829999999,4.844633400000021,267.8269241533713
30,Ecole de création graphique Lyon - e-artsup,2 rue Du Professeur Charles Appleton,45.746303,4.835068,193.56720121966367
28,Galerie Racont'Arts,13 Quai De La Pecherie,45.76111618005954,4.831269979476928,191.03831711883686
26,Galerie Artscenik,13 rue des capucins,45.76169329,4.83403736,181.36487776869043
29,Senioriales de Cavaillon,62 Rue Saint-Georges,45.7572733,4.824603400000001,154.372110667025
6,Arts 2000,12 rue de la Platière,45.76584871482802,4.8323914990255945,153.17510306149185
16,Musée des tissus et des arts décoratifs,17-19 rue de la Charité,45.75295889955018,4.831652487831115,144.528549129182
2,Bistrot des Arts,20 rue Auguste Comte,45.75526793814094,4.831222274521577,143.41864024241463
12,Galerie Des Arts Disparus,23 rue de belfort,45.77030582,4.83259848,130.41041456846352
1,Mercure Lyon Centre Beaux-Arts,73-75 Rue President,45.760873333488874,4.834056209694944,100.11884190554159
9,111 des Arts,,45.766948,4.831964,90.49336339630685
7,Le Géant des Beaux-Arts Lyon Presqu’île,3 rue du Garet,45.767296566796034,4.836863726377487,70.2974003490316
8,Palais Des Arts,,45.76722494477181,4.833931709070366,65.75941263540554
0,Musée des Beaux-Arts,20 Place des Terreaux,45.76677154225662,4.833712168177134,62.726574902375766
24,Jardins du Palais Saint-Pierre,,45.766803522327585,4.833660334218602,57.35279715865023
3,Quai des Arts,8 bis Quai Saint-Vincent,45.76778266041795,4.8178365266831795,44.299868533527224
20,Ensba - Ecole Supérieure Nationale des Beaux Arts de Lyon,18 quai saint vincent,45.767957039927936,4.8174190521240225,7.2067973886534515
