Name,Category,Address,Latitude,Longitude,DistanceToFood
College Charles Senard,school,,45.790664,4.84298,2386.7190744217173
Health Club,business,Hilton Lyon Hotel,45.78465150223246,4.853081703186035,1820.1120469594694
Business & Decision,business,,45.78511,4.855372,1800.6904216250796
Fitness Center @Crowne Plaza,business,,45.785289,4.85686,1785.47209358456
Body Gym Center,business,40 Avenue Henri Barbusse,45.76724508,4.87930767,1304.9897811797186
Digital College Lyon,school,181-203 Avenue Jean Jaurès,45.73639301,4.83694367,1288.7805092509882
E.N.S.A.T.T Ecole Nationale Supérieure Arts et Techniques du Théatre,fun,2 Rue Soeur Bouvier,45.754386769805265,4.811571836471558,1207.4571337177897
Le Géant des Beaux-Arts Lyon,fun,12 Rue Clément Marot,45.73691624513031,4.833399350305974,1206.2235688833496
Pharmacie Des Arts,fun,29 rue de la Doua,45.776605919858355,4.874589549761398,1181.0431775990223
Conduite Center,business,,45.76193650596644,4.881746057209898,1083.5308645724656
Beauté Center,business,,45.737329,4.8265,1056.6540901829849
LIBS,business,Rue Bossuet,45.780409143060425,4.8268067836761475,1011.5542038204204
Optical Center LYON - FRÈRES LUMIÈRE,business,39 Avenue des Frères Lumière,45.74576313,4.86448552,1007.216650463262
Collège Fénelon,school,,45.77330780029297,4.85127592086792,987.0358810272767
Collège Charcot,school,Rue Cdt Charcot,45.75428543858746,4.804677079806338,952.4175913279648
Collège St Denis,school,,45.77938636646928,4.832197398147288,941.0260298240839
LYON ARTS DANCE CENTER,fun,"22, passage Faugier",45.741316,4.842984,880.6192494885545
LYON ARTS DANCE CENTER,business,"22, passage Faugier",45.741316,4.842984,880.6192494885545
Big Ben Art Show,fun,38 Grande Rue De Vaise,45.77397,4.808084,835.3512230227597
The Adecco Group It Projects Center,business,,45.776399,4.859513,780.4919957819894
PELLETIER ArtShop,fun,Rue des artistes,45.77754669999999,4.829989599999976,698.9633106091835
Agend Arts,fun,,45.77614082465964,4.8349375434420905,686.5182358257571
Collège St Jean Baptiste De  La Salle,school,,45.777285,4.826658,669.9663606209475
College G. Dru,school,,45.752937640169506,4.8598928289052115,625.9312145899066
Aux Arts Martiaux Lyonnais,fun,18 Rue d'Austerlitz,45.77554183,4.83419725,621.7213887500448
LeCollege- communication,school,"9, Rue Tronchet",45.769972,4.844538,599.7621171854943
Collège Coopératif Rhône Alpes,school,rue de la claire,45.78025996685028,4.805070161819458,569.2316932176209
Business Assistant Online,business,26 Rue d'Essling,45.75522179999999,4.856710900000053,537.8248208149621
Collège Louis Jouvet,school,23 Rue Docteur Dolard,45.76087370625755,4.872424379765641,529.9607629291086
GymCenter,business,,45.77354934221203,4.85896271141465,518.9008682224044
College-Lycee St. Charles,school,,45.77256983355852,4.81628285624778,518.7593219815882
Orange Business Services,business,141 Cours Gambetta,45.75018408758491,4.8592660749837835,507.57541446128596
Audioprothésiste  VILLEURBANNE Optical Center,business,67 Cours Emile Zola,45.77139128,4.86901286,505.08973410068836
Optical Center Villeurbanne,business,67 Cours Emile Zola,45.77132612,4.86898783,500.76317005855066
Résidence étudiante Les Arts Manufacture,fun,39 rue jules brunard,45.74856992935639,4.858971834182739,495.7125969843033
E-artsup,fun,86 boulevard vivier merle,45.75491188754776,4.859131369675215,491.20949394045937
Esthetic Center,business,Avenue Berthelot,45.739926,4.858591,487.12046669163635
